"kayn fi dar chi hwayj?","Ah, kayn chi hwayj nhal tlaja."
"Salam 3likum","Wa3likum salam!"
"Slm","Wa3likum salam!"
"Kif dayr?","Labas, alhamdulillah!"
"Chno smitk?","Smiti SmartStay."
"Fin kayna dar?","Ddar kayna qrib mn lmsjid."
"Bghit ntla9a m3a mol dar","Ok, ghad nkhbr mol dar."
"Wash kayn chi khidma hna?","Mazal, khassna nshof chno kayn."
"Fash katkhddm?","Ana katkhddm f lhanut."
"Sh7al mn ghorfa 3ndk?","3ndi 3 ghorfat f ddar."
"Kayn l'internet f ddar?","Ah, kayn wifi f ddar."
"Ch7al thmn lkray?","Lkray howa 2000 dh f shhr."
"Wash ddar mfroosha?","Ah, ddar mfroosha b kamlha."
"Fin ghadin njib hadchi?","Nkhliwh f lmagana lfoq."
"Bghit nshri chi dar","Mazyan, khassek tshof l3ardat li kaynin."
"Wash kayn chi mat3am qrib?","Ah, kayn wa7d mat3am qrib mn hna."
"Fash ghadin nashof l3a9ba?","Nashofha ghadia nhar lkhmis."
"Shno katfkr daba?","Kan fkr nbdl ddar."
"Kif ghadi nkhdmo m3a b3diyatna?","Nbdaw b tartib w na9sim lkhidma."
"Fin kayn lkhadma?","Lkhadma kayna f sntir."
"Wash kayn chi tournois dial football hna?","Ah, kayn wa7d tournoi f weekend."
"Shno mn khidmat kaynin?","Kayn l9ahwa w chwiya d mghazat."
"Wash kayn chi khidma f lmdina?","Mazal khasna nshof chno kayn."
"Wash kayn chi khidma b3id?","Ah, kayna khidma b7al 10 km mn hna."
"Ch7al waqt ghadi nkhdmo?","Nbdaw m3a sba7 w nkemlou tal 3shiya."
"Katjib wa7ed fi dar?","Ah, kayn chi wa7ed ghadi yji nhar ljam3a."
"Kifash n3rf chi rjal ljdidin f ddar?","T9dr tsawal jiran w ydellok 3lihom."
"Wash kayn chi 7amam? ","Ah, kayn chi haja khasna nghslha."
"Sh7al mn bit ?","3ndna 2 ghuraf."
"Wash kayn chi l7ij bhal hadchi?","Ah, kayn b nafs lmtar."
"3ndk chi tv fi ddar?","Ah, kayna tv f salon."
"Ch7al taman dar?",taman dyalo 1000 dh."
"Wash kayn chi amana f ddar?","Ah, kayn chi amana w khasna nkhbr malik."
"Fin kayn chi jardina?","Jardina kayna lfoq qrib mn l3isba."
"Fach ntl9a lbanque?","Banque qriba mn lbaladiya."
"Fach 3ndna meeting m3a lmalik?","Meeting ghad nkono nhar tlata."
"Wash kayn chi mat3am lmasr7?","Ah, kayn mat3am qrib mn lmasr7."
"Ch7al mn wa7ed fi l3a9ba?","Fiha 4 d nas dghya."
"Wash kayn chi chez ghorfa?","Ah, kayna wa7d lghurfa lfoq."
"Ch7al mn wa7ed fi ddar?","Fi ddar 5 d nas daba."
"Kayn l'eau fi ddar?","Ah, kayna lma mzian."
"Fach katbdl l'horaire?","Katbdl tal 7 tal lil."
"Wash kayn chi location fi blasa akhra?","Ah, kayn chi location f mdina ljedida."
"Chno t9dr tsa3dni fih?","N9dr nsa3dek f lhanut w lmghazat."
"Wash kayn chi location pour l3ayla?","Ah, kayn wa7d ddar khasa b l3aylat."
"Sh7al thmn l9em9a?","9em9a howa 150 dh f lila."
"Fach kayn l3isba?","L3isba qriba mn lpost d police."
"Sh7al mn m3id fi ddar?","Fi ddar 3 wjbat f nhar."
